
Image Name                     PID Session Name        Session#    Mem Usage
SnippingTool.exe             16204 Console                    4    131,904 K
SearchProtocolHost.exe       20140 Services                   0     16,620 K
backgroundTaskHost.exe        2264 Console                    4     61,336 K
RuntimeBroker.exe             9368 Console                    4     30,536 K
SearchFilterHost.exe         24968 Services                   0     12,224 K
SearchFilterHost.exe         24692 Services                   0     11,952 K
SearchFilterHost.exe          1936 Services                   0     12,736 K
dllhost.exe                  22240 Console                    4     17,856 K
dllhost.exe                  23068 Console                    4     16,632 K
dllhost.exe                   3012 Console                    4     12,088 K
OpenConsole.exe              14604 Console                    4     12,260 K
powershell.exe               11556 Console                    4    128,112 K
OpenConsole.exe              23976 Console                    4     11,812 K
powershell.exe               14532 Console                    4     93,972 K
cmd.exe                       7452 Console                    4      5,184 K
chrome.exe                   15268 Console                    4     98,284 K
cmd.exe                      17380 Console                    4      4,876 K
OpenConsole.exe               6640 Console                    4     11,676 K
powershell.exe               15248 Console                    4     92,048 K
chrome.exe                   21004 Console                    4     65,304 K
chrome.exe                    9080 Console                    4    105,192 K
chrome.exe                   16492 Console                    4     31,756 K
chrome.exe                   12732 Console                    4     41,936 K
tasklist.exe                  1204 Console                    4     11,804 K
more.com                     20812 Console                    4      3,992 K

